scenario,model,context_tokens,batch_size,architecture,architecture_kind,feasible,infeasible_reasons,stages,max_concurrent_users,aggregate_tokens_s,per_user_tokens_s,amortized_capex_per_million_tokens,electricity_cost_per_million_tokens,partial_tco_per_million_tokens,power_w,step_interval_s,binding_constraint,rho_one,expert_coverage,kv_read_bytes_per_user_token,kv_storage_bytes_per_user,resident_users_required,max_batch_per_stage,stage_balance_efficiency
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B200-x1,gpu,False,"['C7: checkpoint requires 1.67e+11 B but GPU capacity is 1.62e+11 B', 'C7/C8: no complete user KV cache fits after weight allocation', 'C7/C8: 1 resident users required (batch 1 x 1 stages) exceeds capacity 0']",1,0,0.0,0.0,,,,1787.5,0.0023115046542193825,capacity_C7_C8_C9,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,0.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B200-x2,gpu,True,[],1,222,789.8816726568384,789.8816726568384,0.7163841503772151,0.1156643004563073,0.8320484508335224,3575.0,0.001266012409980864,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,222.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B200-x4,gpu,True,[],1,682,1286.8013986838696,1286.8013986838696,0.8794810318726083,0.1419972207126205,1.0214782525852288,7150.0,0.0007771206971198448,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,682.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B200-x8,gpu,True,[],1,1601,1656.5303887865382,1656.5303887865382,1.3663708551204121,0.22060835522138794,1.5869792103418001,14300.0,0.0006036713885656708,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,1601.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B200-x16,gpu,True,[],1,3439,1381.7773946061009,1381.7773946061009,3.2761208175712575,0.5289483615392632,3.8050691791105207,28600.0,0.0007237055721881071,collective_floor_C6,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,3439.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B300-x1,gpu,True,[],1,130,434.9922880391863,434.9922880391863,0.8325425185120742,0.10648336928739241,0.9390258877994666,1812.5,0.002298891330942205,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,130.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B300-x2,gpu,True,[],1,498,794.6860982692527,794.6860982692527,0.9114279859838984,0.1165729324957957,1.028000918479694,3625.0,0.0012583584917087395,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,498.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B300-x4,gpu,True,[],1,1233,1296.670158678072,1296.670158678072,1.1171679168946946,0.1428873615528135,1.260055278447508,7250.0,0.0007712061493105378,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,1233.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B300-x8,gpu,True,[],1,2704,1673.3617808739739,1673.3617808739739,1.7313629564472446,0.221443778500797,1.9528067349480416,14500.0,0.0005975994022510265,gpu_weight_memory_C3,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,2704.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,NVIDIA-B300-x16,gpu,True,[],1,5645,1401.2758168732214,1401.2758168732214,4.135083993106419,0.5288831093687261,4.663967102475145,29000.0,0.0007136353799578014,collective_floor_C6,113.19238288924399,0.0234375,99101828.0,704983412.0,1.0,5645.0,1.0
no_speculation,DeepSeek-V4-Flash-0731,200000,1,ROM-wafer-hypothesis-midpoint,rom,True,[],2,937,6502.610076035862,3246.028124221017,0.5221214598582508,0.11790137463294492,0.6400228344911957,30000.0,0.00015378440169514556,compute_C5,113.19238288924399,0.0234375,99101828.0,704983412.0,2.0,468.0,0.9649017173762293
no_speculation,DeepSeek-V4-Flash-0731,200000,2,NVIDIA-B200-x1,gpu,False,"['C7: checkpoint requires 1.67e+11 B but GPU capacity is 1.62e+11 B', 'C7/C8: no complete user KV cache fits after weight allocation', 'C7/C8: 2 resident users required (batch 2 x 1 stages) exceeds capacity 0']",1,0,0.0,0.0,,,,1787.5,0.003143323996061669,capacity_C7_C8_C9,113.19238288924399,0.04632568359375,99101828.0,704983412.0,2.0,0.0,1.0
